course,is_carryover
CS102,FALSE
IST301,FALSE
CYB202,FALSE
CS401,TRUE
CYB404,FALSE
CS308,TRUE
GST101,TRUE
GST107,FALSE
GST103,TRUE
BIO101,TRUE
PHY101,TRUE
BIO191,FALSE
CHM191,TRUE
PHY191,FALSE
CHM101,FALSE
MTH101,TRUE
PHY105,FALSE
MTH131,FALSE
MTH103,FALSE
GST201,FALSE
GST203,TRUE
CIT211,FALSE
CIT213,FALSE
CIT215,FALSE
MTH205,FALSE
MTH281,FALSE
CIT309,TRUE
CIT301,FALSE
CIT333,FALSE
PHY308,TRUE
CIT335,FALSE
CIT353,TRUE
CIT315,FALSE
CIT383,TRUE
CIT389,TRUE
CIT401,FALSE
CIT403,FALSE
CIT421,TRUE
CIT423,TRUE
CIT411,FALSE
CIT425,TRUE
CIT427,FALSE
GST101,TRUE
BIO191,FALSE
PHY191,TRUE
CHM191,TRUE
GST103,TRUE
GST107,FALSE
CIT143,FALSE
BIO101,FALSE
CHM101,TRUE
MTH101,FALSE
MTH103,TRUE
CIT191,TRUE
PHY101,TRUE
GST201,FALSE
GST203,FALSE
MTH281,TRUE
MTH213,TRUE
MTH211,FALSE
CIT237,FALSE
CIT215,TRUE
CIT211,FALSE
CIT315,TRUE
CIT309,TRUE
CIT305,TRUE
CIT303,FALSE
CIT353,FALSE
CIT371,TRUE
CIT216,TRUE
CIT463,TRUE
CIT421,TRUE
CIT423,FALSE
CIT427,FALSE
CIT415,TRUE
CIT403,TRUE
CIT411,TRUE
CYB100,FALSE
CYB101,FALSE
CYB102,FALSE
CYB103,TRUE
CYB104,TRUE
CYB105,FALSE
CYB106,TRUE
CYB107,TRUE
CYB108,TRUE
CYB109,FALSE
CYB200,TRUE
CYB201,FALSE
CYB202,TRUE
CYB203,TRUE
CYB204,FALSE
CYB205,FALSE
CYB206,TRUE
CYB207,FALSE
CYB208,FALSE
CYB209,TRUE
CYB300,TRUE
CYB301,TRUE
CYB302,FALSE
CYB303,FALSE
CYB304,FALSE
CYB305,TRUE
CYB306,FALSE
CYB307,TRUE
CYB308,FALSE
CYB309,TRUE
CYB400,TRUE
CYB401,FALSE
CYB402,FALSE
CYB403,FALSE
CYB404,TRUE
CYB405,TRUE
CYB406,TRUE
CYB407,FALSE
CYB408,TRUE
CYB409,TRUE
