course,level,department,units,no_students,is_carryover
GST101,100,CS,2,184,TRUE
BIO191,100,CS,1,183,TRUE
PHY191,100,CS,1,182,FALSE
CHM191,100,CS,1,181,FALSE
GST103,100,CS,2,180,FALSE
GST107,100,CS,2,179,TRUE
CIT143,100,CS,2,178,FALSE
BIO101,100,CS,2,177,FALSE
CHM101,100,CS,2,176,FALSE
MTH101,100,CS,3,175,FALSE
MTH103,100,CS,3,174,FALSE
CIT191,100,CS,1,173,TRUE
PHY101,100,CS,2,172,FALSE
GST201,200,CS,2,171,TRUE
GST203,200,CS,2,170,TRUE
MTH281,200,CS,3,169,TRUE
MTH213,200,CS,3,168,FALSE
MTH211,200,CS,3,167,TRUE
CIT237,200,CS,3,166,FALSE
CIT215,200,CS,3,165,FALSE
CIT211,200,CS,3,164,FALSE
CIT315,300,CS,3,163,TRUE
CIT309,300,CS,3,162,FALSE
CIT305,300,CS,3,161,FALSE
CIT303,300,CS,3,160,TRUE
CIT353,300,CS,2,159,TRUE
CIT371,300,CS,3,158,TRUE
CIT216,300,CS,3,157,FALSE
CIT463,400,CS,3,156,TRUE
CIT421,400,CS,3,155,TRUE
CIT423,400,CS,3,154,FALSE
CIT427,400,CS,3,153,FALSE
CIT415,400,CS,3,152,TRUE
CIT403,400,CS,3,151,FALSE
CIT411,400,CS,2,150,FALSE
