course,level,department,units,no_students,is_carryover
GST101,ND1,CYB,2,184,TRUE
BIO191,ND1,CYB,1,183,TRUE
PHY191,ND1,CYB,1,182,FALSE
CHM191,ND1,CYB,1,181,FALSE
GST103,ND1,CYB,2,180,FALSE
GST107,ND1,CYB,2,179,TRUE
CIT143,ND1,CYB,2,178,FALSE
BIO101,ND1,CYB,2,177,FALSE
CHM101,ND1,CYB,2,176,FALSE
MTH101,ND1,CYB,3,175,FALSE
MTH103,ND1,CYB,3,174,FALSE
CIT191,ND1,CYB,1,173,TRUE
PHY101,ND1,CYB,2,172,FALSE
GST201,ND2,CYB,2,171,TRUE
GST203,ND2,CYB,2,170,TRUE
MTH281,ND2,CYB,3,169,TRUE
MTH213,ND2,CYB,3,168,FALSE
MTH211,ND2,CYB,3,167,TRUE
CIT237,ND2,CYB,3,166,FALSE
CIT215,ND2,CYB,3,165,FALSE
CIT211,ND2,CYB,3,164,FALSE
CIT315,HND1,CYB,3,163,TRUE
CIT309,HND1,CYB,3,162,FALSE
CIT305,HND1,CYB,3,161,FALSE
CIT303,HND1,CYB,3,160,TRUE
CIT353,HND1,CYB,2,159,TRUE
CIT371,HND1,CYB,3,158,TRUE
CIT216,HND1,CYB,3,157,FALSE
CIT463,HND2,CYB,3,156,TRUE
CIT421,HND2,CYB,3,155,TRUE
CIT423,HND2,CYB,3,154,FALSE
CIT427,HND2,CYB,3,153,FALSE
CIT415,HND2,CYB,3,152,TRUE
CIT403,HND2,CYB,3,151,FALSE
CIT411,HND2,CYB,2,150,FALSE
